beds,bath,price,year_built,sqft,price_per_sqft,elevation,city
2.0,1.0,999000,1960,1000,999,10,NY
2.0,2.0,2750000,2006,1418,1939,0,NY
2.0,2.0,1350000,1900,2150,628,9,NY
1.0,1.0,629000,1903,500,1258,9,NY
0.0,1.0,439000,1930,500,878,10,NY
0.0,1.0,439000,1930,500,878,10,NY
1.0,1.0,475000,1920,500,950,10,NY
1.0,1.0,975000,1930,900,1083,10,NY
1.0,1.0,975000,1930,900,1083,12,NY
2.0,1.0,1895000,1921,1000,1895,12,NY
3.0,3.0,2095000,1926,2200,952,4,NY
1.0,1.0,999000,1982,784,1274,5,NY
1.0,1.0,999000,1982,784,1274,5,NY
1.0,1.0,1249000,1987,826,1512,3,NY
0.0,1.0,1110000,2008,698,1590,5,NY
2.0,2.0,2059500,2008,1373,1500,5,NY
2.0,2.0,2000000,1928,1200,1667,10,NY
1.0,1.0,715000,1903,557,1284,3,NY
2.0,2.0,2498000,2005,1260,1983,2,NY
2.0,1.5,2650000,1915,2500,1060,5,NY
2.0,2.0,3450000,1900,1850,1865,9,NY
1.0,1.0,3105000,2016,1108,2802,10,NY
4.0,5.0,13750000,2016,3699,3717,10,NY
2.0,2.0,1185000,1900,1000,1185,4,NY
1.0,2.0,1699000,1900,1500,1133,5,NY
1.0,1.0,1195000,1900,1093,1093,6,NY
1.0,1.0,450000,1920,500,900,10,NY
1.0,1.0,1195000,1900,1093,1093,10,NY
2.0,2.0,1185000,1900,1000,1185,10,NY
0.0,1.0,625000,1964,800,781,8,NY
2.0,2.0,3159990,2012,1420,2225,8,NY
2.0,2.0,2200000,1920,2050,1073,10,NY
2.0,2.0,4895000,2016,1520,3220,10,NY
2.0,2.0,6525000,2016,2018,3233,10,NY
2.0,2.0,4895000,2016,1520,3220,11,NY
2.0,2.0,6525000,2016,2018,3233,11,NY
2.0,2.0,1675000,2006,1225,1367,12,NY
2.0,2.0,1675000,2006,1225,1367,12,NY
2.0,1.0,999000,1985,799,1250,5,NY
1.0,1.0,1550000,1926,1000,1550,6,NY
1.0,1.0,1595000,2015,714,2234,7,NY
2.0,2.0,3995000,1906,2400,1665,9,NY
1.0,1.0,1285000,2012,749,1716,10,NY
1.0,1.0,1595000,2015,714,2234,10,NY
2.0,2.0,3995000,1906,2400,1665,10,NY
2.0,2.0,4995000,1900,2024,2468,8,NY
3.0,2.0,3580000,1880,3000,1193,10,NY
3.0,3.0,6350000,2015,2500,2540,3,NY
3.0,3.0,6550000,2015,2500,2620,3,NY
3.0,3.0,5985000,1909,3300,1814,3,NY
3.0,3.0,9900000,2015,2950,3356,4,NY
1.0,1.0,1849000,1920,1400,1321,5,NY
2.0,2.0,3500000,1915,2000,1750,5,NY
2.0,2.0,3500000,1910,1887,1855,5,NY
1.0,1.0,1250000,2007,720,1736,6,NY
2.0,1.0,899000,1990,820,1096,7,NY
1.0,2.0,1950000,1900,1300,1500,7,NY
1.0,1.0,1750000,1963,1000,1750,5,NY
0.0,1.0,775000,2009,546,1419,6,NY
0.0,1.0,390000,1955,550,709,6,NY
0.0,1.0,699999,1988,500,1400,9,NY
1.0,1.0,649000,1965,750,865,10,NY
2.0,2.0,1200000,1964,1200,1000,10,NY
0.0,1.0,319000,1941,500,638,10,NY
0.0,1.0,699999,1988,500,1400,10,NY
0.0,1.0,775000,2009,546,1419,10,NY
1.0,1.0,649000,1965,750,865,10,NY
2.0,2.0,1849000,2009,1135,1629,10,NY
1.0,1.0,615000,1960,750,820,11,NY
1.0,1.0,1590000,2008,785,2025,12,NY
1.0,1.0,1150000,2014,645,1783,18,NY
2.0,2.0,2650000,2014,1240,2137,18,NY
0.0,1.0,469000,1932,500,938,18,NY
0.0,1.0,569000,1962,543,1048,8,NY
1.0,1.0,549000,1924,750,732,10,NY
2.0,2.0,799000,1928,850,940,19,NY
2.0,2.0,879000,1928,800,1099,22,NY
2.0,3.0,2999000,1925,3200,937,10,NY
2.0,3.0,2999000,1925,3200,937,10,NY
2.0,3.0,2999000,1925,3200,937,12,NY
2.0,3.0,2999000,1925,3200,937,12,NY
1.0,1.0,399000,1910,475,840,10,NY
1.0,1.0,1135000,2005,715,1587,10,NY
1.0,1.0,1145000,2005,700,1636,10,NY
1.0,1.0,1760000,1969,950,1853,10,NY
2.0,2.0,1725000,2005,976,1767,10,NY
2.0,2.0,2750000,2007,1384,1987,10,NY
2.0,2.0,2750000,2007,1384,1987,13,NY
1.0,1.0,399000,1910,475,840,14,NY
2.0,2.0,1725000,2005,1144,1508,16,NY
1.0,1.0,869000,1988,670,1297,16,NY
1.0,1.0,1760000,1969,950,1853,17,NY
3.0,3.0,1249000,1962,1500,833,18,NY
