Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal
Existing Customer,45.0,F,,Graduate,Married,Unknown,Blue,37.0,6.0,1.0,2.0,14470.0,1157.0
Existing Customer,53.0,M,3.0,Graduate,Unknown,$80K - $120K,Blue,49.0,5.0,2.0,1.0,4778.0,1869.0
Existing Customer,56.0,F,3.0,,Married,Less than $40K,Blue,47.0,6.0,3.0,4.0,2865.0,2022.0
Existing Customer,26.0,F,0.0,Post-Graduate,Single,Less than $40K,Blue,13.0,5.0,3.0,2.0,2902.0,1668.0
Existing Customer,44.0,F,3.0,Uneducated,Single,$40K - $60K,Blue,34.0,3.0,3.0,3.0,2245.0,1342.0
Existing Customer,29.0,M,0.0,Unknown,Married,$60K - $80K,Blue,23.0,3.0,3.0,2.0,6224.0,1092.0
Existing Customer,47.0,M,2.0,Unknown,Married,$80K - $120K,Blue,36.0,6.0,2.0,1.0,2514.0,1845.0
Existing Customer,44.0,F,4.0,Uneducated,Married,Less than $40K,Blue,36.0,2.0,2.0,3.0,6769.0,1133.0
Existing Customer,55.0,M,1.0,High School,Married,$80K - $120K,Blue,45.0,3.0,3.0,3.0,16794.0,809.0
Existing Customer,42.0,M,2.0,Graduate,Married,$80K - $120K,Silver,31.0,2.0,1.0,3.0,34516.0,1356.0
Existing Customer,41.0,F,1.0,Uneducated,Married,Less than $40K,Blue,31.0,2.0,2.0,2.0,2909.0,1201.0
Existing Customer,39.0,F,1.0,Uneducated,Single,Less than $40K,Blue,35.0,1.0,5.0,1.0,1961.0,0.0
Existing Customer,53.0,F,2.0,High School,Married,Less than $40K,Blue,36.0,4.0,1.0,2.0,2377.0,1649.0
Existing Customer,46.0,F,2.0,College,Unknown,Less than $40K,Silver,36.0,2.0,3.0,1.0,13427.0,1507.0
Existing Customer,55.0,M,3.0,Graduate,Married,$80K - $120K,Blue,48.0,5.0,2.0,4.0,16208.0,1278.0
Existing Customer,44.0,F,2.0,Uneducated,Single,Less than $40K,Blue,36.0,5.0,2.0,2.0,2097.0,1224.0
Existing Customer,40.0,F,3.0,Uneducated,Married,Less than $40K,Blue,35.0,5.0,2.0,4.0,3140.0,2183.0
Existing Customer,53.0,M,3.0,College,Single,$120K +,Blue,36.0,6.0,2.0,0.0,34516.0,1901.0
Existing Customer,49.0,M,4.0,High School,Single,$80K - $120K,Blue,38.0,4.0,3.0,0.0,31302.0,1953.0
Existing Customer,46.0,M,4.0,Doctorate,Unknown,$60K - $80K,Gold,36.0,2.0,2.0,3.0,34516.0,1426.0
Existing Customer,54.0,F,3.0,Uneducated,Married,$40K - $60K,Blue,49.0,5.0,3.0,2.0,5335.0,1373.0
Existing Customer,53.0,M,3.0,Graduate,Single,$80K - $120K,Blue,45.0,2.0,1.0,2.0,24262.0,1984.0
Existing Customer,52.0,M,3.0,Uneducated,Married,$80K - $120K,Blue,40.0,4.0,1.0,3.0,21877.0,1073.0
Existing Customer,43.0,F,2.0,Graduate,Married,Less than $40K,Blue,35.0,3.0,3.0,2.0,2209.0,0.0
Existing Customer,41.0,F,5.0,High School,Divorced,Less than $40K,Blue,34.0,3.0,1.0,3.0,2137.0,996.0
Existing Customer,54.0,F,3.0,Graduate,Married,Less than $40K,Blue,49.0,5.0,2.0,4.0,2031.0,1069.0
Existing Customer,57.0,F,3.0,Graduate,Married,Less than $40K,Blue,47.0,4.0,2.0,3.0,6347.0,1594.0
Existing Customer,46.0,F,2.0,Graduate,Married,Less than $40K,Blue,40.0,6.0,1.0,2.0,1696.0,1177.0
Existing Customer,56.0,F,2.0,Uneducated,Single,Unknown,Blue,47.0,5.0,2.0,1.0,5261.0,1966.0
Existing Customer,48.0,F,2.0,Graduate,Married,Less than $40K,Blue,35.0,2.0,3.0,1.0,2216.0,1262.0
Existing Customer,47.0,M,5.0,Post-Graduate,Married,Less than $40K,Blue,41.0,4.0,2.0,1.0,3532.0,0.0
Existing Customer,50.0,M,2.0,Graduate,Single,$80K - $120K,Blue,35.0,3.0,3.0,1.0,2514.0,1521.0
Existing Customer,49.0,F,3.0,Graduate,Divorced,Unknown,Blue,42.0,2.0,2.0,3.0,14072.0,1917.0
Existing Customer,51.0,F,0.0,Doctorate,Single,Less than $40K,Blue,38.0,2.0,2.0,2.0,4132.0,2517.0
Existing Customer,42.0,F,4.0,Post-Graduate,Married,Less than $40K,Blue,34.0,5.0,3.0,2.0,2021.0,1281.0
Existing Customer,44.0,F,5.0,Graduate,Single,Less than $40K,Blue,28.0,2.0,2.0,2.0,1558.0,879.0
Existing Customer,34.0,F,2.0,Graduate,Single,Less than $40K,Blue,24.0,5.0,3.0,3.0,5712.0,1955.0
Existing Customer,49.0,F,4.0,Uneducated,Married,Less than $40K,Blue,36.0,6.0,,3.0,1438.3,0.0
Existing Customer,43.0,F,4.0,Uneducated,Married,Less than $40K,Blue,36.0,5.0,3.0,3.0,3006.0,879.0
Existing Customer,52.0,F,1.0,Graduate,Married,$40K - $60K,Blue,46.0,5.0,1.0,2.0,2442.0,1507.0
Existing Customer,47.0,M,2.0,Post-Graduate,Married,$80K - $120K,Blue,35.0,1.0,3.0,1.0,30300.0,1166.0
Existing Customer,60.0,F,0.0,College,Single,Less than $40K,Blue,55.0,5.0,1.0,3.0,1438.3,738.0
Existing Customer,47.0,F,4.0,Post-Graduate,Single,$40K - $60K,Blue,27.0,4.0,6.0,3.0,6885.0,1611.0
Existing Customer,53.0,M,2.0,Doctorate,Married,$60K - $80K,Blue,40.0,3.0,3.0,3.0,11262.0,1435.0
Existing Customer,40.0,F,4.0,Uneducated,Married,Less than $40K,Blue,31.0,5.0,2.0,3.0,1438.3,0.0
