id,year,month,day,latitude,longitude,name,magnitude
nc72666881,2016,7,27,37.6723333,-121.619,California,1.43
us20006i0y,2016,7,27,21.5146,94.5721,Burma,4.9
nc72666891,2016,7,27,37.5765,-118.85916670000002,California,0.06
nc72666896,2016,7,27,37.5958333,-118.99483329999998,California,0.4
nn00553447,2016,7,27,39.3775,-119.845,Nevada,0.3
ak13805337,2016,7,27,61.2963,-152.46,Alaska,1.8
hv61354276,2016,7,27,19.4235,-155.60983330000005,Hawaii,1.0
ak13805339,2016,7,27,61.3019,-152.4507,Alaska,2.0
ci37640584,2016,7,27,35.503,-118.40583329999998,California,1.2
nc72666901,2016,7,27,37.673,-121.6133333,California,1.67
ci37640592,2016,7,27,33.5888333,-116.8165,California,0.48
nn00553416,2016,7,27,38.2638,-118.7351,Nevada,0.9
nc71104689,2016,7,27,36.6811667,-121.33683329999998,California,0.51
nc71104624,2016,7,27,37.0286667,-121.19,California,0.53
uu60156827,2016,7,27,44.7263333,-111.2098333,Montana,0.14
pr16209000,2016,7,27,18.072,-66.9848,Puerto Rico,1.6
ak13805345,2016,7,27,51.3716,178.7402,Alaska,2.1
ci37640600,2016,7,27,36.0758333,-117.6788333,California,0.73
nc71104629,2016,7,27,37.0263333,-121.1936667,California,0.22
nc72666906,2016,7,27,38.7763333,-122.7245,California,1.22
nc72666911,2016,7,27,38.8415,-122.8288333,California,0.55
hv61354336,2016,7,27,19.4074993,-155.28433230000005,Hawaii,1.47
ak13805346,2016,7,27,62.5408,-149.8593,Alaska,1.2
ci37640608,2016,7,27,33.7878333,-116.037,California,0.81
ak13831347,2016,7,27,59.1835,-152.5865,Alaska,1.6
ci37640616,2016,7,27,35.9231667,-117.6898333,California,0.75
nc72666931,2016,7,27,38.8348333,-122.8023333,California,1.4
ak13805347,2016,7,27,64.7377,-151.2365,Alaska,0.8
ci37640624,2016,7,27,35.978,-117.8535,California,1.13
nc72666946,2016,7,27,37.6363333,-118.94266670000002,California,0.47
us20006i18,2016,7,27,-24.286,-67.8647,Chile,5.6
pr16209001,2016,7,27,18.6138,-68.7526,Dominican Republic,3.6
ci37640640,2016,7,27,35.9758333,-117.85966670000002,California,0.28
ak13831349,2016,7,27,61.1163,-147.2352,Alaska,1.2
ak13805706,2016,7,27,63.0332,-151.4388,Alaska,2.3
nn00553420,2016,7,27,36.49,-113.9923,Nevada,1.1
ak13831351,2016,7,27,60.4444,-151.8699,Alaska,1.5
us10006aa8,2016,7,27,53.302,-163.5048,Alaska,2.5
ak13831353,2016,7,27,61.25100000000001,-151.3632,Alaska,1.3
ak13805716,2016,7,27,62.1521,-150.1588,Alaska,2.0
