STA,YR,MO,DA,MAX,MIN
20501,45,5,5,86.0,75.0
10703,44,12,14,81.0,74.0
32805,42,12,29,72.0,45.0
32701,43,12,7,75.0,39.0
81601,45,3,9,89.0,76.0
32801,42,10,23,94.0,67.0
33305,45,1,15,50.0,33.0
10802,45,9,19,88.0,76.0
32702,44,6,29,105.0,83.0
80510,44,9,1,82.0,74.0
10701,45,1,6,86.0,70.0
32801,44,6,13,109.0,85.0
22508,41,4,15,82.0,61.0
41204,45,4,2,88.0,73.0
33205,45,6,1,84.0,64.0
10705,43,2,14,90.0,75.0
11601,43,11,26,87.0,76.0
34123,44,5,22,76.0,60.0
10102,42,12,23,86.0,64.0
10502,42,1,1,83.0,71.0
50303,45,12,24,88.0,73.0
34104,45,8,14,95.0,71.0
81702,42,5,11,85.0,65.0
22509,41,11,24,79.0,69.0
11801,43,4,9,94.0,73.0
34104,44,4,26,59.0,52.0
22502,44,3,31,78.0,65.0
16504,44,2,25,48.0,15.0
10001,43,3,27,86.0,71.0
32601,45,3,9,91.0,57.0
10718,45,2,2,89.0,72.0
60701,42,9,12,86.0,76.0
16201,43,11,2,48.0,43.0
32702,44,5,8,102.0,77.0
11501,45,6,2,87.0,74.0
50801,43,5,22,78.0,72.0
82503,44,7,5,77.0,57.0
22508,44,10,20,79.0,68.0
12701,44,6,12,91.0,70.0
10505,45,6,27,88.0,70.0
32812,45,6,5,112.0,82.0
12801,45,2,13,85.0,65.0
10704,44,7,19,85.0,74.0
11604,44,3,15,80.0,71.0
10806,45,9,9,81.0,62.0
82503,43,11,6,90.0,67.0
50801,45,4,21,82.0,73.0
50401,44,9,21,93.0,72.0
31302,44,11,17,73.0,46.0
34018,45,6,9,81.0,56.0
50403,45,8,26,90.0,71.0
81702,45,7,8,85.0,64.0
10502,42,6,22,86.0,70.0
11901,45,8,15,75.0,58.0
10803,45,12,16,92.0,71.0
31501,43,12,31,82.0,62.0
22504,41,7,10,86.0,76.0
12801,45,10,17,82.0,64.0
10802,44,9,6,84.0,72.0
22504,41,11,28,82.0,67.0
31701,43,7,31,83.0,63.0
32812,44,3,13,95.0,71.0
50401,44,9,3,90.0,71.0
11601,44,11,24,87.0,76.0
